檔名,緯度,經度,方位角,Roll,Pitch,altitude
209.jpg,23.8694079,120.9228916,175.01,-4.07,-2.35,301.1
210.jpg,23.8691689,120.9231720,171.33,0.17,-5.36,302.3
211.jpg,23.8689303,120.9234667,177.82,0.94,-5.37,300.6
212.jpg,23.8686548,120.9237384,181.97,-1.5,-2.77,300.97
213.jpg,23.8684037,120.9239956,178.38,1.01,-4.08,302.19
214.jpg,23.8683414,120.9240644,178.93,2.8,-5.65,302.4
215.jpg,23.8683121,120.9240984,173.23,-0.03,-6.91,301.92
216.jpg,23.8682688,120.9241491,177.3,1.45,-5.72,299.87
217.jpg,23.8675036,120.9249931,160.54,1.87,4.4,296.71
218.jpg,23.8672399,120.9252893,162.71,0.53,3.44,298.4
219.jpg,23.8669613,120.9255946,163.47,1.42,2.2,299.96
220.jpg,23.8666913,120.9259062,166.68,3.22,-0.6,302.3
221.jpg,23.8664161,120.9262244,162.3,-0.04,-0.1,301.34
222.jpg,23.8661591,120.9265301,165.75,1.41,0.48,299.62
223.jpg,23.8658853,120.9268521,166.32,1.5,2.06,299.52
224.jpg,23.8656220,120.9271566,167.86,1.48,2.69,299.11
225.jpg,23.8653419,120.9274713,168.0,0.52,3.91,296.36
226.jpg,23.8650635,120.9277806,158.3,1.9,7.59,297.76
227.jpg,23.8648054,120.9280689,165.3,2.02,4.3,299.85
228.jpg,23.8645543,120.9283480,166.99,1.68,2.96,300.41
229.jpg,23.8642583,120.9289333,124.88,-4.11,-0.71,302.12
230.jpg,23.8642357,120.9294785,97.82,-1.07,-2.65,302.78
231.jpg,23.8642687,120.9300165,81.68,1.86,-1.47,301.23
232.jpg,23.8642875,120.9305398,75.09,2.98,-1.24,302.55
233.jpg,23.8643043,120.9310669,69.27,1.03,-1.48,301.55
234.jpg,23.8643299,120.9317136,69.28,1.52,3.75,300.42
235.jpg,23.8643566,120.9323178,67.76,2.48,2.08,299.13
236.jpg,23.8643671,120.9329106,68.12,0.18,0.48,300.64
237.jpg,23.8643809,120.9334735,68.5,2.31,-0.01,301.46
238.jpg,23.8643866,120.9339740,65.91,3.49,-1.22,301.68
239.jpg,23.8643861,120.9345070,61.99,1.17,-2.8,302.55
240.jpg,23.8643911,120.9346305,57.5,1.93,-5.3,301.69
241.jpg,23.8643820,120.9352272,70.52,5.47,2.13,298.29
242.jpg,23.8642697,120.9357300,87.44,4.45,4.14,297.49
243.jpg,23.8640975,120.9362123,100.01,2.4,2.72,297.93
244.jpg,23.8639028,120.9366702,110.39,2.63,3.66,297.94
245.jpg,23.8637141,120.9370826,109.93,1.6,3.72,299.76
246.jpg,23.8635116,120.9375016,113.91,0.89,0.26,299.88
247.jpg,23.8633239,120.9379129,113.52,1.25,1.31,299.65
